Ref,Val,Package,PosX,PosY,Rot,Side
C85,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-150.300000,0.000000,top
C86,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-141.300000,0.000000,top
C87,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,94.076000,-134.328000,0.000000,top
C88,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-71.336000,180.000000,top
C89,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-53.048000,0.000000,top
C90,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,81.884000,-119.596000,90.000000,top
C91,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-59.144000,0.000000,top
C92,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-77.178000,180.000000,top
C93,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,79.598000,-119.596000,90.000000,top
C94,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,94.076000,-138.392000,0.000000,top
C95,4.7u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,94.076000,-127.470000,0.000000,top
C96,0.1,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-50.799000,180.000000,top
C97,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-75.273000,180.000000,top
C98,1 uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-67.272000,180.000000,top
C99,0.1,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-53.048000,180.000000,top
C100,1 uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-65.240000,180.000000,top
C101,0.1,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.461000,-75.673000,0.000000,top
C102,0.047 uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.664000,-69.304000,180.000000,top
C103,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.800000,-161.450000,90.000000,top
C104,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.302000,-160.744000,90.000000,top
C106,0.033,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,115.398000,-49.365000,0.000000,top
